CustomerID,LookalikeID,SimilarityScore
C0001,C0107,0.9894745100697452
C0001,C0137,0.9878993643996925
C0001,C0184,0.9876952579522869
C0002,C0088,0.9960181163981279
C0002,C0142,0.9878201899527567
C0002,C0159,0.972298247164086
C0003,C0147,0.9942668895155119
C0003,C0190,0.9922756373740879
C0003,C0174,0.9519114412852009
C0004,C0113,0.9940817744586501
C0004,C0165,0.9841704166737897
C0004,C0169,0.9813051959433615
C0005,C0186,0.9969024424329482
C0005,C0159,0.996372880157721
C0005,C0140,0.9910490255986132
C0006,C0048,0.9830503804921817
C0006,C0187,0.9792881524314156
C0006,C0126,0.9790225046943399
C0007,C0146,0.9999941606069644
C0007,C0178,0.9941895490322287
C0007,C0177,0.993321591167537
C0008,C0018,0.9649683156855254
C0008,C0109,0.9299312692667687
C0008,C0068,0.9293645959693416
C0009,C0198,0.999977775979382
C0009,C0014,0.9973442172774978
C0009,C0063,0.9957320490899445
C0010,C0019,0.9787516421965143
C0010,C0073,0.9626265713944174
C0010,C0166,0.9608910257715995
C0011,C0107,0.9856116104681051
C0011,C0048,0.9855283270176562
C0011,C0001,0.9667977758633877
C0012,C0148,0.9930475746400313
C0012,C0163,0.991733108402133
C0012,C0102,0.9870087880662018
C0013,C0163,0.9943699688509432
C0013,C0148,0.9929196214267842
C0013,C0155,0.9922985599780675
C0014,C0060,0.9993486465671856
C0014,C0009,0.9973442172774978
C0014,C0198,0.9968897834973055
C0015,C0020,0.99911053569187
C0015,C0058,0.9938396686487728
C0015,C0033,0.9914291681801973
C0016,C0154,0.9871119865654528
C0016,C0185,0.9678111177241473
C0016,C0183,0.957500334031291
C0017,C0124,0.9869640280693173
C0017,C0075,0.9716205670088969
C0017,C0041,0.9661836518867508
C0018,C0122,0.988711730332348
C0018,C0046,0.9795809853304893
C0018,C0008,0.9649683156855254
C0019,C0166,0.9964526998144236
C0019,C0073,0.9927424887700426
C0019,C0172,0.9923073759793368
C0020,C0015,0.99911053569187
C0020,C0058,0.9976144171434358
C0020,C0033,0.9946404803101984
